track_id,path,label
blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00096.wav,blues
blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00065.wav,blues
classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00081.wav,classical
country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00074.wav,country
rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00051.wav,rock
pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00047.wav,pop
reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00080.wav,reggae
hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00047.wav,hiphop
jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00061.wav,jazz
country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00072.wav,country
reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00003.wav,reggae
pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00058.wav,pop
country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00036.wav,country
metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00077.wav,metal
classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00012.wav,classical
hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00088.wav,hiphop
pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00078.wav,pop
rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00099.wav,rock
rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00094.wav,rock
reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00030.wav,reggae
rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00077.wav,rock
blues/blues.00059,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00059.wav,blues
pop/pop.00000,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00000.wav,pop
reggae/reggae.00098,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00098.wav,reggae
classical/classical.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00030.wav,classical
