split,track_id,label,path,decode_status,sample_rate,channels,num_samples,duration_sec
train,blues/blues.00096,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00096.wav,ok,22050,1,661794,30.013
train,blues/blues.00065,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00065.wav,ok,22050,1,661794,30.013
train,classical/classical.00081,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00081.wav,ok,22050,1,661794,30.013
train,country/country.00074,country,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00074.wav,ok,22050,1,661794,30.013
train,rock/rock.00051,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00051.wav,ok,22050,1,661794,30.013
train,pop/pop.00047,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00047.wav,ok,22050,1,661504,30.000
train,reggae/reggae.00080,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00080.wav,ok,22050,1,661504,30.000
train,hiphop/hiphop.00047,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00047.wav,ok,22050,1,661794,30.013
train,jazz/jazz.00061,jazz,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00061.wav,ok,22050,1,666820,30.241
train,country/country.00072,country,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00072.wav,ok,22050,1,661794,30.013
train,reggae/reggae.00003,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00003.wav,ok,22050,1,661794,30.013
train,pop/pop.00058,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00058.wav,ok,22050,1,661504,30.000
train,country/country.00036,country,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00036.wav,ok,22050,1,661794,30.013
train,metal/metal.00077,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00077.wav,ok,22050,1,661504,30.000
train,classical/classical.00012,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00012.wav,ok,22050,1,661794,30.013
train,hiphop/hiphop.00088,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00088.wav,ok,22050,1,661794,30.013
train,pop/pop.00078,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00078.wav,ok,22050,1,661504,30.000
train,rock/rock.00099,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00099.wav,ok,22050,1,661794,30.013
train,rock/rock.00094,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00094.wav,ok,22050,1,661794,30.013
train,reggae/reggae.00030,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00030.wav,ok,22050,1,661794,30.013
train,rock/rock.00077,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00077.wav,ok,22050,1,661794,30.013
train,blues/blues.00059,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00059.wav,ok,22050,1,661794,30.013
train,pop/pop.00000,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00000.wav,ok,22050,1,661504,30.000
train,reggae/reggae.00098,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00098.wav,ok,22050,1,661504,30.000
train,classical/classical.00030,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00030.wav,ok,22050,1,661794,30.013
train,metal/metal.00098,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00098.wav,ok,22050,1,661794,30.013
train,metal/metal.00009,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00009.wav,ok,22050,1,661504,30.000
train,country/country.00024,country,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00024.wav,ok,22050,1,661794,30.013
train,reggae/reggae.00036,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00036.wav,ok,22050,1,661794,30.013
train,disco/disco.00089,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00089.wav,ok,22050,1,661504,30.000
train,classical/classical.00039,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00039.wav,ok,22050,1,661794,30.013
train,pop/pop.00035,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00035.wav,ok,22050,1,661504,30.000
train,classical/classical.00031,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00031.wav,ok,22050,1,661794,30.013
train,disco/disco.00033,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00033.wav,ok,22050,1,661794,30.013
train,metal/metal.00005,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00005.wav,ok,22050,1,661504,30.000
train,metal/metal.00040,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00040.wav,ok,22050,1,661794,30.013
train,jazz/jazz.00066,jazz,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00066.wav,ok,22050,1,667480,30.271
train,pop/pop.00096,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00096.wav,ok,22050,1,661504,30.000
train,classical/classical.00056,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00056.wav,ok,22050,1,663080,30.072
train,reggae/reggae.00076,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00076.wav,ok,22050,1,661504,30.000
train,disco/disco.00066,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00066.wav,ok,22050,1,661504,30.000
train,rock/rock.00085,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00085.wav,ok,22050,1,661794,30.013
train,classical/classical.00055,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00055.wav,ok,22050,1,661794,30.013
train,pop/pop.00045,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00045.wav,ok,22050,1,661504,30.000
train,reggae/reggae.00054,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00054.wav,ok,22050,1,661504,30.000
train,jazz/jazz.00073,jazz,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00073.wav,ok,22050,1,661794,30.013
train,reggae/reggae.00015,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00015.wav,ok,22050,1,661794,30.013
train,disco/disco.00000,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00000.wav,ok,22050,1,664180,30.122
train,blues/blues.00037,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00037.wav,ok,22050,1,661794,30.013
train,disco/disco.00015,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00015.wav,ok,22050,1,661794,30.013
train,jazz/jazz.00038,jazz,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00038.wav,ok,22050,1,661794,30.013
train,hiphop/hiphop.00057,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00057.wav,ok,22050,1,661794,30.013
train,rock/rock.00037,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00037.wav,ok,22050,1,661794,30.013
train,disco/disco.00080,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00080.wav,ok,22050,1,661504,30.000
train,blues/blues.00093,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00093.wav,ok,22050,1,661794,30.013
train,classical/classical.00019,classical,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/classical/classical.00019.wav,ok,22050,1,661794,30.013
train,blues/blues.00024,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00024.wav,ok,22050,1,661794,30.013
train,disco/disco.00028,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00028.wav,ok,22050,1,661794,30.013
train,blues/blues.00086,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00086.wav,ok,22050,1,661794,30.013
train,blues/blues.00089,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00089.wav,ok,22050,1,661794,30.013
train,hiphop/hiphop.00005,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00005.wav,ok,22050,1,661504,30.000
train,hiphop/hiphop.00099,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00099.wav,ok,22050,1,661504,30.000
train,hiphop/hiphop.00039,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00039.wav,ok,22050,1,675808,30.649
train,reggae/reggae.00004,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00004.wav,ok,22050,1,661794,30.013
train,metal/metal.00019,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00019.wav,ok,22050,1,661504,30.000
train,blues/blues.00055,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00055.wav,ok,22050,1,661794,30.013
train,country/country.00003,country,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00003.wav,ok,22050,1,661408,29.996
train,hiphop/hiphop.00091,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00091.wav,ok,22050,1,661794,30.013
train,metal/metal.00036,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00036.wav,ok,22050,1,661504,30.000
train,rock/rock.00027,rock,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/rock/rock.00027.wav,ok,22050,1,661500,30.000
train,reggae/reggae.00069,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00069.wav,ok,22050,1,661504,30.000
train,pop/pop.00023,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00023.wav,ok,22050,1,661504,30.000
train,jazz/jazz.00097,jazz,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00097.wav,ok,22050,1,661794,30.013
train,country/country.00048,country,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/country/country.00048.wav,ok,22050,1,661794,30.013
train,hiphop/hiphop.00010,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00010.wav,ok,22050,1,661794,30.013
train,hiphop/hiphop.00092,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00092.wav,ok,22050,1,661794,30.013
train,pop/pop.00016,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00016.wav,ok,22050,1,661504,30.000
train,pop/pop.00098,pop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/pop/pop.00098.wav,ok,22050,1,661504,30.000
train,jazz/jazz.00010,jazz,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/jazz/jazz.00010.wav,ok,22050,1,661794,30.013
train,hiphop/hiphop.00059,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00059.wav,ok,22050,1,661794,30.013
train,disco/disco.00007,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00007.wav,ok,22050,1,661794,30.013
train,reggae/reggae.00072,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00072.wav,ok,22050,1,661504,30.000
train,blues/blues.00084,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00084.wav,ok,22050,1,661794,30.013
train,metal/metal.00015,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00015.wav,ok,22050,1,661504,30.000
train,blues/blues.00075,blues,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/blues/blues.00075.wav,ok,22050,1,661794,30.013
train,reggae/reggae.00013,reggae,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/reggae/reggae.00013.wav,ok,22050,1,661794,30.013
train,disco/disco.00016,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00016.wav,ok,22050,1,667920,30.291
train,metal/metal.00051,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00051.wav,ok,22050,1,661794,30.013
train,metal/metal.00013,metal,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/metal/metal.00013.wav,ok,22050,1,661504,30.000
train,disco/disco.00046,disco,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/disco/disco.00046.wav,ok,22050,1,661504,30.000
train,hiphop/hiphop.00023,hiphop,/Users/samuelturner/Documents/mert-music-retrieval/data/raw/gtzan/hiphop/hiphop.00023.wav,ok,22050,1,661794,30.013
